,sentence,Agent,Role,Team,embedded
59,I'm pretty sure Agent[04] is the POSSESSED.,Agent[04],POSSESSED,,"[-0.03348657  0.03082759 -0.04135274 ... -0.00263994  0.02542653
 -0.01115527]"
60,Agent[00] must be the VILLAGER.,Agent[00],VILLAGER,,"[-0.03262506  0.03515921 -0.01756367 ... -0.02653675  0.00186076
  0.04889775]"
61,Agent[00] must be the SEER.,Agent[00],SEER,,"[-0.03137064  0.02497116  0.00923636 ... -0.02719779  0.00782204
  0.01873662]"
62,Agent[00] must be the MEDIUM.,Agent[00],MEDIUM,,"[-0.01849472  0.02094031  0.03549492 ... -0.04368083  0.01333182
  0.0290413 ]"
63,Agent[00] must be the BODYGUARD.,Agent[00],BODYGUARD,,"[-0.02026521  0.03825973  0.00093754 ... -0.02545983  0.01975197
  0.00866287]"
64,Agent[00] must be the WEREWOLF.,Agent[00],WEREWOLF,,"[-0.034584    0.03710543  0.00428798 ... -0.00996897  0.00555648
  0.03139331]"
65,Agent[00] must be the POSSESSED.,Agent[00],POSSESSED,,"[-0.05254121  0.05886916 -0.0182488  ... -0.01132161  0.01449358
  0.01599567]"
66,Agent[01] must be the VILLAGER.,Agent[01],VILLAGER,,"[-3.16272415e-02  3.43542658e-02 -1.74905844e-02 ... -2.15497799e-02
  6.91796886e-05  4.35070470e-02]"
67,Agent[01] must be the SEER.,Agent[01],SEER,,"[-0.03225854  0.02555844  0.01317959 ... -0.02024738  0.0018364
  0.01585146]"
68,Agent[01] must be the MEDIUM.,Agent[01],MEDIUM,,"[-0.02078431  0.02832339  0.03003524 ... -0.03603537  0.00971779
  0.02491697]"
69,Agent[01] must be the BODYGUARD.,Agent[01],BODYGUARD,,"[-0.01912569  0.03270323 -0.00633799 ... -0.02183812  0.01516493
  0.00543641]"
70,Agent[01] must be the WEREWOLF.,Agent[01],WEREWOLF,,"[-0.03628809  0.03631848 -0.00127077 ... -0.0034419   0.00397376
  0.02625872]"
71,Agent[01] must be the POSSESSED.,Agent[01],POSSESSED,,"[-0.05096764  0.05240651 -0.02481236 ... -0.00430459  0.01028785
  0.01156684]"
72,Agent[02] must be the VILLAGER.,Agent[02],VILLAGER,,"[-0.02469314  0.03366254 -0.0282497  ... -0.01631651  0.00167396
  0.04389545]"
73,Agent[02] must be the SEER.,Agent[02],SEER,,"[-0.02751511  0.02608937  0.00501057 ... -0.01963258  0.00205872
  0.02059946]"
74,Agent[02] must be the MEDIUM.,Agent[02],MEDIUM,,"[-0.0139736   0.0268065   0.02070547 ... -0.03434204  0.01085395
  0.02768795]"
75,Agent[02] must be the BODYGUARD.,Agent[02],BODYGUARD,,"[-0.01294496  0.03024065 -0.01709654 ... -0.01979277  0.01538076
  0.01142067]"
76,Agent[02] must be the WEREWOLF.,Agent[02],WEREWOLF,,"[-0.02861284  0.03472256 -0.00933849 ... -0.00441972  0.00427983
  0.02958072]"
77,Agent[02] must be the POSSESSED.,Agent[02],POSSESSED,,"[-0.04318527  0.05148524 -0.0348217  ... -0.00202133  0.01155953
  0.01717235]"
78,Agent[03] must be the VILLAGER.,Agent[03],VILLAGER,,"[-0.02908618  0.03323695 -0.0212612  ... -0.01033082  0.00943917
  0.04409046]"
79,Agent[03] must be the SEER.,Agent[03],SEER,,"[-0.02717253  0.0270245   0.01122594 ... -0.01528866  0.00837217
  0.02294533]"
80,Agent[03] must be the MEDIUM.,Agent[03],MEDIUM,,"[-0.01407789  0.02729633  0.02641968 ... -0.03085448  0.01773918
  0.03248744]"
81,Agent[03] must be the BODYGUARD.,Agent[03],BODYGUARD,,"[-0.0129065   0.03271984 -0.00753578 ... -0.01493434  0.02425782
  0.01398141]"
82,Agent[03] must be the WEREWOLF.,Agent[03],WEREWOLF,,"[-0.02713191  0.03507994  0.00048049 ...  0.00416631  0.01241221
  0.03218427]"
83,Agent[03] must be the POSSESSED.,Agent[03],POSSESSED,,"[-0.04181764  0.05058484 -0.02332138 ...  0.00342961  0.02076691
  0.01881163]"
84,Agent[04] must be the VILLAGER.,Agent[04],VILLAGER,,"[-0.02303771  0.03970427 -0.02514604 ... -0.02151417  0.00869493
  0.04253589]"
85,Agent[04] must be the SEER.,Agent[04],SEER,,"[-0.02653356  0.03282037  0.0077094  ... -0.0240672   0.00969619
  0.01895715]"
86,Agent[04] must be the MEDIUM.,Agent[04],MEDIUM,,"[-0.01244891  0.03352883  0.02462327 ... -0.0389511   0.01832589
  0.02609895]"
87,Agent[04] must be the BODYGUARD.,Agent[04],BODYGUARD,,"[-0.00983484  0.03967327 -0.01225561 ... -0.0245264   0.02379789
  0.00928846]"
88,Agent[04] must be the WEREWOLF.,Agent[04],WEREWOLF,,"[-0.02383617  0.04496436 -0.00571354 ... -0.00549779  0.01218591
  0.02816596]"
89,Agent[04] must be the POSSESSED.,Agent[04],POSSESSED,,"[-0.0392472   0.06069187 -0.02825798 ... -0.00640122  0.02043994
  0.01418394]"
90,Agent[00] seems like the VILLAGER.,Agent[00],VILLAGER,,"[-0.04824506  0.00753619 -0.02568696 ... -0.02799156  0.00305527
  0.0381856 ]"
91,Agent[00] seems like the SEER.,Agent[00],SEER,,"[-0.05580997  0.0004494  -0.00950722 ... -0.0244447   0.01808942
  0.01449209]"
92,Agent[00] seems like the MEDIUM.,Agent[00],MEDIUM,,"[-0.0220253   0.00236228  0.02287504 ... -0.03789848  0.01957805
  0.02042779]"
93,Agent[00] seems like the BODYGUARD.,Agent[00],BODYGUARD,,"[-0.04266961  0.0126989  -0.00967188 ... -0.02487981  0.02256503
  0.00401646]"
94,Agent[00] seems like the WEREWOLF.,Agent[00],WEREWOLF,,"[-0.05304104  0.01868345 -0.00036309 ... -0.0118763   0.00307368
  0.02663317]"
95,Agent[00] seems like the POSSESSED.,Agent[00],POSSESSED,,"[-0.07281986  0.0329408  -0.02119669 ... -0.00696213  0.01764799
  0.00864099]"
96,Agent[01] seems like the VILLAGER.,Agent[01],VILLAGER,,"[-0.04921402  0.0092542  -0.02656903 ... -0.01747834 -0.00091816
  0.03075468]"
97,Agent[01] seems like the SEER.,Agent[01],SEER,,"[-0.05589893  0.00178517 -0.00639158 ... -0.01130245  0.01004078
  0.0078241 ]"
98,Agent[01] seems like the MEDIUM.,Agent[01],MEDIUM,,"[-0.01931792  0.00875813  0.01668215 ... -0.02610756  0.01562283
  0.01257834]"
99,Agent[01] seems like the BODYGUARD.,Agent[01],BODYGUARD,,"[-0.04304452  0.01724253 -0.01881846 ... -0.01502541  0.01781419
 -0.00399004]"
100,Agent[01] seems like the WEREWOLF.,Agent[01],WEREWOLF,,"[-0.05225956  0.01981039 -0.00627919 ... -0.00011746 -0.00103313
  0.02194901]"
101,Agent[01] seems like the POSSESSED.,Agent[01],POSSESSED,,"[-0.06965613  0.03170683 -0.02367196 ...  0.00259974  0.01049169
  0.00159249]"
102,Agent[02] seems like the VILLAGER.,Agent[02],VILLAGER,,"[-0.04108949  0.0094532  -0.03417571 ... -0.01540856  0.00064714
  0.03496211]"
103,Agent[02] seems like the SEER.,Agent[02],SEER,,"[-0.04854022  0.00268044 -0.01181227 ... -0.00928231  0.01082646
  0.0113499 ]"
104,Agent[02] seems like the MEDIUM.,Agent[02],MEDIUM,,"[-0.01047233  0.00724405  0.00498467 ... -0.02689823  0.01622799
  0.01635168]"
105,Agent[02] seems like the BODYGUARD.,Agent[02],BODYGUARD,,"[-0.03405055  0.01681112 -0.02545378 ... -0.01306342  0.01745358
  0.00127059]"
106,Agent[02] seems like the WEREWOLF.,Agent[02],WEREWOLF,,"[-0.04307713  0.01858698 -0.01393625 ...  0.00195841 -0.00242907
  0.0278725 ]"
107,Agent[02] seems like the POSSESSED.,Agent[02],POSSESSED,,"[-0.05616134  0.02781938 -0.03252255 ...  0.00527569  0.00956003
  0.00813832]"
108,Agent[03] seems like the VILLAGER.,Agent[03],VILLAGER,,"[-0.04310531  0.00969626 -0.0271885  ... -0.00942015  0.00843753
  0.03735577]"
109,Agent[03] seems like the SEER.,Agent[03],SEER,,"[-0.0485669   0.00196753 -0.00685392 ... -0.0047907   0.01606579
  0.01610978]"
110,Agent[03] seems like the MEDIUM.,Agent[03],MEDIUM,,"[-0.01809493  0.00751255  0.02547956 ... -0.02063606  0.02307487
  0.02010737]"
111,Agent[03] seems like the BODYGUARD.,Agent[03],BODYGUARD,,"[-0.03585696  0.01824972 -0.01411179 ... -0.00829116  0.0264491
  0.00459685]"
112,Agent[03] seems like the WEREWOLF.,Agent[03],WEREWOLF,,"[-0.0444567   0.01777632 -0.00304288 ...  0.00969907  0.007481
  0.03114831]"
113,Agent[03] seems like the POSSESSED.,Agent[03],POSSESSED,,"[-0.05624519  0.02780146 -0.02044585 ...  0.01099519  0.01968123
  0.01089579]"
114,Agent[04] seems like the VILLAGER.,Agent[04],VILLAGER,,"[-0.0383582   0.01781727 -0.03052768 ... -0.02057336  0.01041638
  0.03472666]"
115,Agent[04] seems like the SEER.,Agent[04],SEER,,"[-0.04593433  0.01098317 -0.00872701 ... -0.01492607  0.0179458
  0.00988744]"
116,Agent[04] seems like the MEDIUM.,Agent[04],MEDIUM,,"[-0.0137748   0.01284805  0.0179283  ... -0.03086902  0.02429756
  0.01601583]"
117,Agent[04] seems like the BODYGUARD.,Agent[04],BODYGUARD,,"[-0.02954204  0.02730815 -0.020956   ... -0.01937556  0.02692824
 -0.00060549]"
118,Agent[04] seems like the WEREWOLF.,Agent[04],WEREWOLF,,"[-0.03910184  0.02756855 -0.00695179 ... -0.00162858  0.00655807
  0.02516644]"
119,Agent[04] seems like the POSSESSED.,Agent[04],POSSESSED,,"[-0.05086647  0.03750299 -0.02627035 ... -0.00165997  0.01926898
  0.00531952]"
120,I suspect Agent[00] is the VILLAGER.,Agent[00],VILLAGER,,"[-0.03646551  0.00372265 -0.01870693 ... -0.03655729 -0.00435934
  0.03429349]"
121,I suspect Agent[00] is the SEER.,Agent[00],SEER,,"[-0.02807197 -0.00808658 -0.00645276 ... -0.03690119  0.00254975
  0.01014948]"
122,I suspect Agent[00] is the MEDIUM.,Agent[00],MEDIUM,,"[-1.52050294e-02  4.54160711e-03  2.72735246e-02 ... -5.78587204e-02
 -8.29037308e-05  1.80390570e-02]"
123,I suspect Agent[00] is the BODYGUARD.,Agent[00],BODYGUARD,,"[-0.01455148  0.01379082  0.00438522 ... -0.04171474  0.01524368
 -0.00148139]"
124,I suspect Agent[00] is the WEREWOLF.,Agent[00],WEREWOLF,,"[-0.02194035  0.01208405  0.00765054 ... -0.01949276 -0.00961447
  0.01890651]"
125,I suspect Agent[00] is the POSSESSED.,Agent[00],POSSESSED,,"[-0.04368072  0.02833427 -0.01669424 ... -0.01325584  0.0095341
 -0.00098308]"
126,I suspect Agent[01] is the VILLAGER.,Agent[01],VILLAGER,,"[-0.03925175  0.00820597 -0.01362949 ... -0.03059196 -0.00771495
  0.02859813]"
127,I suspect Agent[01] is the SEER.,Agent[01],SEER,,"[-0.0314808  -0.00038166  0.00039497 ... -0.03244499  0.00114698
  0.00892679]"
128,I suspect Agent[01] is the MEDIUM.,Agent[01],MEDIUM,,"[-0.01555432  0.01327126  0.03168328 ... -0.05299185  0.00098816
  0.01488648]"
129,I suspect Agent[01] is the BODYGUARD.,Agent[01],BODYGUARD,,"[-0.01546284  0.01829017  0.00383656 ... -0.03926193  0.0142605
 -0.00529759]"
130,I suspect Agent[01] is the WEREWOLF.,Agent[01],WEREWOLF,,"[-0.02342538  0.01773455  0.00685999 ... -0.01203667 -0.01057875
  0.0153258 ]"
131,I suspect Agent[01] is the POSSESSED.,Agent[01],POSSESSED,,"[-0.04559408  0.03237927 -0.01698193 ... -0.01101732  0.01054643
 -0.00489202]"
132,I suspect Agent[02] is the VILLAGER.,Agent[02],VILLAGER,,"[-0.03754213  0.00674265 -0.02213873 ... -0.02991364 -0.01023477
  0.03320809]"
133,I suspect Agent[02] is the SEER.,Agent[02],SEER,,"[-0.02890008 -0.00274052 -0.00857519 ... -0.03378641  0.00361452
  0.0113559 ]"
134,I suspect Agent[02] is the MEDIUM.,Agent[02],MEDIUM,,"[-0.01221484  0.01032251  0.02143608 ... -0.0521787   0.00294707
  0.01575908]"
135,I suspect Agent[02] is the BODYGUARD.,Agent[02],BODYGUARD,,"[-0.02037699  0.01501537 -0.00485183 ... -0.03761686  0.01404572
  0.00016811]"
136,I suspect Agent[02] is the WEREWOLF.,Agent[02],WEREWOLF,,"[-0.02334926  0.01638912 -0.00060805 ... -0.01221861 -0.01006362
  0.02068516]"
137,I suspect Agent[02] is the POSSESSED.,Agent[02],POSSESSED,,"[-0.0419883   0.02988251 -0.02388838 ... -0.01076152  0.01098924
 -0.00109268]"
138,I suspect Agent[03] is the VILLAGER.,Agent[03],VILLAGER,,"[-0.03855605  0.00728192 -0.01720059 ... -0.02367986 -0.00066373
  0.03512755]"
139,I suspect Agent[03] is the SEER.,Agent[03],SEER,,"[-0.02963686 -0.00336111 -0.00538017 ... -0.02824688  0.01088016
  0.01179882]"
140,I suspect Agent[03] is the MEDIUM.,Agent[03],MEDIUM,,"[-0.01179392  0.01137658  0.02725123 ... -0.04899966  0.01186348
  0.01842511]"
141,I suspect Agent[03] is the BODYGUARD.,Agent[03],BODYGUARD,,"[-0.01973023  0.0169828   0.00265312 ... -0.03262748  0.0246272
  0.00232393]"
142,I suspect Agent[03] is the WEREWOLF.,Agent[03],WEREWOLF,,"[-0.02273615  0.01628588  0.0087002  ... -0.00618557 -0.00010128
  0.0220535 ]"
143,I suspect Agent[03] is the POSSESSED.,Agent[03],POSSESSED,,"[-4.07797508e-02  3.00082918e-02 -1.65950526e-02 ... -5.52073726e-03
  2.08277386e-02 -6.57793998e-06]"
144,I suspect Agent[04] is the VILLAGER.,Agent[04],VILLAGER,,"[-0.03757975  0.01676899 -0.0217567  ... -0.02992621 -0.00220362
  0.02843563]"
145,I suspect Agent[04] is the SEER.,Agent[04],SEER,,"[-0.02901696  0.00715589 -0.00877275 ... -0.03291946  0.00915041
  0.00852098]"
146,I suspect Agent[04] is the MEDIUM.,Agent[04],MEDIUM,,"[-0.01263201  0.02050502  0.02452952 ... -0.05263976  0.00916605
  0.01465191]"
147,I suspect Agent[04] is the BODYGUARD.,Agent[04],BODYGUARD,,"[-0.01848255  0.02797093 -0.00445473 ... -0.03959136  0.02277491
 -0.00385112]"
148,I suspect Agent[04] is the WEREWOLF.,Agent[04],WEREWOLF,,"[-0.0207949   0.02987553  0.00426597 ... -0.01132335 -0.00223929
  0.01633689]"
149,I suspect Agent[04] is the POSSESSED.,Agent[04],POSSESSED,,"[-0.04165575  0.03898219 -0.01841305 ... -0.01119013  0.01752186
 -0.00807098]"
150,I'm convinced Agent[00] is the VILLAGER.,Agent[00],VILLAGER,,"[-0.02781521 -0.01459159 -0.04978809 ... -0.02093266  0.0071248
  0.0281572 ]"
151,I'm convinced Agent[00] is the SEER.,Agent[00],SEER,,"[-0.01637889 -0.0180973  -0.04253695 ... -0.02364271  0.01328242
  0.00928109]"
152,I'm convinced Agent[00] is the MEDIUM.,Agent[00],MEDIUM,,"[-0.00141463 -0.01132513 -0.01072016 ... -0.03768592  0.01480979
  0.02095634]"
153,I'm convinced Agent[00] is the BODYGUARD.,Agent[00],BODYGUARD,,"[-0.01406028 -0.00048845 -0.0328882  ... -0.02188265  0.02380969
 -0.00761539]"
154,I'm convinced Agent[00] is the WEREWOLF.,Agent[00],WEREWOLF,,"[-0.01056595 -0.00379725 -0.02888534 ... -0.00123868  0.00276587
  0.01447031]"
155,I'm convinced Agent[00] is the POSSESSED.,Agent[00],POSSESSED,,"[-0.03345558  0.01184054 -0.0529476  ...  0.00132601  0.02249845
 -0.00462722]"
156,I'm convinced Agent[01] is the VILLAGER.,Agent[01],VILLAGER,,"[-0.02906291 -0.01281564 -0.04228102 ... -0.01632494  0.00636192
  0.02136646]"
157,I'm convinced Agent[01] is the SEER.,Agent[01],SEER,,"[-0.02058001 -0.01382977 -0.03401464 ... -0.01853847  0.01268552
  0.0056595 ]"
158,I'm convinced Agent[01] is the MEDIUM.,Agent[01],MEDIUM,,"[-0.00331836 -0.00625123 -0.00505503 ... -0.03258745  0.0172475
  0.01477563]"
159,I'm convinced Agent[01] is the BODYGUARD.,Agent[01],BODYGUARD,,"[-0.01277731  0.00204416 -0.02976661 ... -0.01673489  0.02281259
 -0.01252289]"
160,I'm convinced Agent[01] is the WEREWOLF.,Agent[01],WEREWOLF,,"[-0.01297655 -0.00107281 -0.02534986 ...  0.00431181  0.00367772
  0.01135877]"
161,I'm convinced Agent[01] is the POSSESSED.,Agent[01],POSSESSED,,"[-0.03414453  0.01493999 -0.05513065 ...  0.00610575  0.02381981
 -0.00718242]"
162,I'm convinced Agent[02] is the VILLAGER.,Agent[02],VILLAGER,,"[-0.02627974 -0.01230145 -0.05306675 ... -0.01592284  0.00583368
  0.02498336]"
163,I'm convinced Agent[02] is the SEER.,Agent[02],SEER,,"[-0.01597723 -0.01255708 -0.04480893 ... -0.01744772  0.01208618
  0.01034306]"
164,I'm convinced Agent[02] is the MEDIUM.,Agent[02],MEDIUM,,"[ 0.00099365 -0.00670966 -0.01523468 ... -0.03136504  0.01800971
  0.0166182 ]"
165,I'm convinced Agent[02] is the BODYGUARD.,Agent[02],BODYGUARD,,"[-0.01096149  0.00301825 -0.03884058 ... -0.01628844  0.02209076
 -0.00882931]"
166,I'm convinced Agent[02] is the WEREWOLF.,Agent[02],WEREWOLF,,"[-0.01087508 -0.00067499 -0.03576268 ...  0.00435755  0.0027239
  0.01546162]"
167,I'm convinced Agent[02] is the POSSESSED.,Agent[02],POSSESSED,,"[-0.03144635  0.01630603 -0.061838   ...  0.00626568  0.02230109
 -0.00568629]"
168,I'm convinced Agent[03] is the VILLAGER.,Agent[03],VILLAGER,,"[-0.03032515 -0.0133249  -0.0485482  ... -0.00885299  0.01510668
  0.02536413]"
169,I'm convinced Agent[03] is the SEER.,Agent[03],SEER,,"[-0.01809108 -0.0133631  -0.04337262 ... -0.01238631  0.01956857
  0.01159011]"
